ProductID,ProductName,Price,StockQuantity
1,Laptop Beta 1,1369.2,84
2,Smartwatch Beta 1,452.0,7
3,Headphone Delta 1,127.0,52
4,Tablet Gamma 1,435.0,46
5,Cellphone Epsilon 1,511.7,61
6,Smartwatch Gamma 1,250.0,28
7,Smartwatch Epsilon 1,243.5,8
8,Laptop Delta 1,817.6,33
9,Laptop Epsilon 1,1938.4,43
10,TV Alpha 1,1660.3,32
11,Laptop Delta 2,1806.3,52
12,Laptop Gamma 1,1237.7,94
13,TV Delta 1,1242.4,47
14,Smartwatch Beta 2,482.6,36
15,Laptop Beta 2,1993.5,57
16,Cellphone Beta 1,528.2,93
17,Console Alpha 1,366.9,57
18,Smartwatch Epsilon 2,456.0,91
19,Tablet Gamma 2,1417.9,51
20,Laptop Beta 3,1506.1,31
21,Smartwatch Beta 3,223.0,62
22,Tablet Delta 1,1358.5,13
23,Headphone Gamma 1,60.9,82
24,Headphone Alpha 1,67.4,57
25,Console Epsilon 1,359.9,55
26,Cellphone Beta 2,936.3,81
27,Headphone Epsilon 1,96.4,63
28,Console Beta 1,455.8,12
29,TV Delta 2,1889.3,58
30,Smartwatch Delta 1,424.3,71
31,Headphone Delta 2,117.1,88
32,TV Gamma 1,1987.9,25
33,TV Gamma 2,1559.1,86
34,Smartwatch Alpha 1,383.7,27
35,Smartwatch Delta 2,462.4,38
36,Cellphone Delta 1,791.0,52
37,TV Alpha 2,2437.0,90
38,Laptop Beta 4,1843.9,28
39,Tablet Gamma 3,1131.7,32
40,Smartwatch Gamma 2,237.9,37
41,Tablet Beta 1,799.8,21
42,Console Epsilon 2,496.4,77
43,Console Alpha 2,667.9,56
44,TV Gamma 3,1265.8,84
45,Laptop Gamma 2,1376.6,0
46,Headphone Epsilon 2,58.6,42
47,Console Alpha 3,495.3,27
48,Cellphone Alpha 1,673.1,39
49,TV Gamma 4,508.3,41
50,Cellphone Delta 2,741.3,11
