SaleID,CustomerID,ProductID,SaleDate,Quantity,TotalAmount,PaymentMethod
1,95,36,2024-03-31,4,3164.0,credit
2,34,10,2024-07-22,5,8301.5,debit
3,99,24,2023-12-23,1,67.4,cash
4,95,4,2024-03-29,5,2175.0,credit
5,24,15,2024-04-24,1,1993.5,cash
6,50,46,2023-09-12,2,117.2,debit
7,44,2,2023-10-15,1,452.0,cash
8,61,20,2024-03-17,5,7530.5,cash
9,2,25,2024-05-24,2,719.8,cash
10,27,7,2023-09-07,1,243.5,debit
11,53,20,2024-04-24,3,4518.3,cash
12,81,20,2024-06-27,3,4518.3,cash
13,61,50,2024-05-13,4,2965.2,credit
14,3,42,2023-09-16,1,496.4,credit
15,12,37,2024-05-05,4,9748.0,debit
16,68,7,2023-11-23,1,243.5,debit
17,10,30,2024-03-08,4,1697.2,debit
18,20,14,2024-01-16,5,2413.0,cash
19,51,41,2024-04-20,4,3199.2,debit
20,100,9,2024-04-17,3,5815.2,debit
21,23,42,2024-01-20,2,992.8,credit
22,53,16,2023-10-24,1,528.2,debit
23,12,14,2024-06-14,2,965.2,credit
24,38,33,2024-03-17,1,1559.1,cash
25,61,15,2024-03-16,4,7974.0,credit
26,22,5,2023-12-15,2,1023.4,cash
27,8,48,2024-07-30,2,1346.2,credit
28,81,32,2024-01-20,4,7951.6,debit
29,56,44,2024-06-12,4,5063.2,credit
30,100,25,2023-11-12,1,359.9,cash
31,85,25,2024-05-01,1,359.9,credit
32,80,26,2024-04-23,1,936.3,credit
33,91,17,2024-05-23,4,1467.6,cash
34,38,15,2024-01-24,2,3987.0,debit
35,53,39,2024-04-01,1,1131.7,cash
36,64,24,2024-04-25,3,202.2,credit
37,36,24,2024-02-28,1,67.4,debit
38,7,7,2023-09-18,5,1217.5,debit
39,3,19,2024-06-18,5,7089.5,credit
40,97,6,2023-09-12,5,1250.0,debit
41,86,21,2023-12-02,2,446.0,cash
42,6,19,2023-09-22,4,5671.6,cash
43,99,14,2023-09-07,2,965.2,debit
44,2,35,2024-05-23,4,1849.6,cash
45,52,10,2024-01-19,5,8301.5,debit
46,9,32,2024-07-31,3,5963.7,debit
47,98,25,2024-01-30,3,1079.7,credit
48,70,41,2024-03-12,5,3999.0,debit
49,81,28,2023-10-25,4,1823.2,cash
50,86,33,2023-11-12,4,6236.4,credit
51,76,39,2023-09-13,3,3395.1,debit
52,77,2,2023-09-14,3,1356.0,cash
